Subject,TrialList,TrialList.Number,Exp.Number,Prime,PrimeType,PrefixClass,fPrimeMorpheme,PrimeAsp,fPrime,letPrime,Target,TargetAsp,fTarget,fTargetStem,letTarget,Target.RT,Target.ACC,Blank2.RT,Blank2.ACC
26,1,24,50,исцарапать,pref,pref-is,,P,1.6,10,царапать,I,4.5,,8,0,0,47,0
25,3,10,42,намазать,pref,pref-na,,P,3.8,8,мазать,I,5.9,,6,0,0,61,0
3,1,22,69,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,109,0
9,1,22,87,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,99,0
13,1,22,66,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,154,0
26,1,22,18,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,66,0
29,1,22,44,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,819,0
35,1,22,30,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,531,0
41,1,22,58,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,175,0
24,2,3,85,ощипать,pref,pref-o,,P,0.4,7,щипать,I,4.0,,6,0,0,213,0
40,2,3,47,ощипать,pref,pref-o,,P,0.4,7,щипать,I,4.0,,6,0,0,482,0
17,2,9,4,облизать,pref,pref-ob,,P,3.1,8,лизать,I,4.5,,6,0,0,44,0
25,3,16,16,отшвырнуть,pref,pref-ot,,P,3.1,9,швырять,I,7.7,,7,0,0,202,0
29,1,35,26,позабыть,unrel,pref-po,,P,14.3,8,добыть,P,19.9,,6,0,0,335,0
41,1,35,84,позабыть,unrel,pref-po,,P,14.3,8,добыть,P,19.9,,6,0,0,101,0
19,2,7,19,покачать,pref,pref-po,,P,33.7,8,качать,I,17.8,,6,0,0,1405,0
29,1,20,20,поковырять,pref,pref-po,,P,0.9,10,ковырять,I,3.9,,8,0,0,335,0
12,3,11,2,помахать,pref,pref-po,,P,11.0,8,махать,I,22.2,,6,0,0,18,0
25,3,11,31,помахать,pref,pref-po,,P,11.0,8,махать,I,22.2,,6,0,0,154,0
28,3,11,8,помахать,pref,pref-po,,P,11.0,8,махать,I,22.2,,6,0,0,745,0
16,1,19,41,понырять,pref,pref-po,,P,0.1,8,нырять,I,8.7,,6,0,0,34,0
29,1,19,49,понырять,pref,pref-po,,P,0.1,8,нырять,I,8.7,,6,0,0,153,0
41,1,19,23,понырять,pref,pref-po,,P,0.1,8,нырять,I,8.7,,6,0,0,66,0
30,2,29,2,посбить,pref,pref-po,,P,0.1,7,сбить,P,29.6,,5,0,0,428,0
38,2,29,63,посбить,pref,pref-po,,P,0.1,7,сбить,P,29.6,,5,0,0,19,0
25,3,17,74,похлебать,pref,pref-po,,P,0.8,9,хлебать,I,4.4,,7,0,0,29,0
25,3,18,64,похлопать,pref,pref-po,,P,9.2,9,хлопать,I,20.2,,7,0,0,8,0
7,1,31,33,поддавать,suffix-va,pref-pod,,I,0.8,9,поддать,P,2.7,,7,0,0,368,0
37,1,31,72,поддавать,suffix-va,pref-pod,,I,0.8,9,поддать,P,2.7,,7,0,0,121,0
14,2,30,95,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,124,0
21,2,30,9,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,1326,0
27,2,30,64,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,594,0
30,2,30,51,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,604,0
40,2,30,39,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,346,0
25,3,34,75,подустать,pref,pref-pod,,P,0.1,9,устать,P,58.6,,6,0,0,418,0
37,1,36,100,приодеть,pref,pref-pri,,P,0.7,8,одеть,P,33.9,,5,0,0,0,0
29,1,33,52,проиграть,unrel,pref-pro,,P,30.1,9,продать,P,68.3,,7,0,0,167,0
25,3,33,52,распродать,pref,pref-ras,,P,2.4,10,продать,P,68.3,,7,0,0,28,0
25,3,35,10,раздобыть,pref,pref-raz,,P,7.1,9,добыть,P,19.9,,6,0,0,1219,0
9,1,34,70,восстать,unrel,pref-vos,,P,6.6,8,устать,P,58.6,,6,0,0,498,0
29,1,34,101,восстать,unrel,pref-vos,,P,6.6,8,устать,P,58.6,,6,0,0,570,0
37,1,34,23,восстать,unrel,pref-vos,,P,6.6,8,устать,P,58.6,,6,0,0,120,0
41,1,34,19,восстать,unrel,pref-vos,,P,6.6,8,устать,P,58.6,,6,0,0,61,0
16,1,28,33,выбивать,suffix-va,pref-vy,,I,7.0,8,выбить,P,19.6,,6,0,0,22,0
33,2,5,67,забодать,pref,pref-za,,P,0.5,8,бодать,I,0.4,,6,0,0,2575,0
9,1,30,63,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,211,0
13,1,30,50,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,252,0
23,1,30,39,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,270,0
29,1,30,73,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,446,0
37,1,30,71,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,40,0
41,1,30,98,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,61,0
25,3,15,13,загавкать,pref,pref-za,,P,0.1,9,гавкать,I,0.8,,7,0,0,582,0
11,1,25,89,загромыхать,pref,pref-za,,P,0.4,11,громыхать,I,3.3,,9,0,0,41,0
30,2,6,88,закапать,pref,pref-za,,P,1.5,8,капать,I,8.7,,6,0,0,2536,0
3,1,32,103,замешать,unrel,pref-za,,P,5.5,8,познать,P,11.9,,7,0,0,362,0
7,1,32,34,замешать,unrel,pref-za,,P,5.5,8,познать,P,11.9,,7,0,0,106,0
37,1,32,64,замешать,unrel,pref-za,,P,5.5,8,познать,P,11.9,,7,0,0,56,0
1,1,27,66,замигать,pref,pref-za,,P,1.2,8,мигать,I,7.3,,6,0,0,0,0
37,1,27,92,замигать,pref,pref-za,,P,1.2,8,мигать,I,7.3,,6,0,0,39,0
25,3,12,69,замотать,pref,pref-za,,P,5.1,8,мотать,I,8.1,,6,0,0,18,0
33,2,4,48,заохать,pref,pref-za,,P,0.6,7,охать,I,3.5,,5,0,0,318,0
36,2,4,74,заохать,pref,pref-za,,P,0.6,7,охать,I,3.5,,5,0,0,232,0
17,2,2,61,засвистеть,pref,pref-za,,P,2.4,10,свистеть,I,8.8,,8,0,0,0,0
33,2,2,77,засвистеть,pref,pref-za,,P,2.4,10,свистеть,I,8.8,,8,0,0,2402,0
29,1,26,28,затопать,pref,pref-za,,P,2.0,8,топать,I,9.1,,6,0,0,399,0
37,1,26,96,затопать,pref,pref-za,,P,2.0,8,топать,I,9.1,,6,0,0,25,0
25,3,14,33,зашагать,pref,pref-za,,P,8.4,8,шагать,I,23.2,,6,0,0,91,0
41,1,13,25,баюкать,unrel,,,I,1.1,7,чихать,I,3.8,,6,0,0,40,0
1,1,101,41,блеять,filler,,,I,1.3,6,мизать,I,,,6,0,0,44,0
4,3,101,73,блеять,filler,,,I,1.3,6,мизать,I,,,6,0,0,697,0
5,1,101,87,блеять,filler,,,I,1.3,6,мизать,I,,,6,0,0,87,0
6,3,101,64,блеять,filler,,,I,1.3,6,мизать,I,,,6,0,0,215,0
8,3,101,9,блеять,filler,,,I,1.3,6,мизать,I,,,6,0,0,96,0
9,1,101,89,блеять,filler,,,I,1.3,6,мизать,I,,,6,0,0,172,0
11,1,101,35,блеять,filler,,,I,1.3,6,мизать,I,,,6,0,0,231,0
17,2,101,10,блеять,filler,,,I,1.3,6,мизать,I,,,6,0,0,20,0
35,1,101,70,блеять,filler,,,I,1.3,6,мизать,I,,,6,0,0,146,0
5,1,47,77,блуждать,balance,,,I,5.6,8,ворочать,I,4.2,,8,0,0,241,0
15,3,47,7,блуждать,balance,,,I,5.6,8,ворочать,I,4.2,,8,0,0,391,0
19,2,47,61,блуждать,balance,,,I,5.6,8,ворочать,I,4.2,,8,0,0,1663,0
23,1,47,24,блуждать,balance,,,I,5.6,8,ворочать,I,4.2,,8,0,0,635,0
30,2,47,39,блуждать,balance,,,I,5.6,8,ворочать,I,4.2,,8,0,0,1068,0
34,3,47,53,блуждать,balance,,,I,5.6,8,ворочать,I,4.2,,8,0,0,688,0
37,1,47,65,блуждать,balance,,,I,5.6,8,ворочать,I,4.2,,8,0,0,49,0
40,2,47,59,блуждать,balance,,,I,5.6,8,ворочать,I,4.2,,8,0,0,840,0
7,1,5,6,боднуть,suffix-nu,,,P,0.7,7,бодать,I,0.4,,6,0,0,151,0
9,1,5,81,боднуть,suffix-nu,,,P,0.7,7,бодать,I,0.4,,6,0,0,142,0
11,1,5,33,боднуть,suffix-nu,,,P,0.7,7,бодать,I,0.4,,6,0,0,96,0
29,1,5,95,боднуть,suffix-nu,,,P,0.7,7,бодать,I,0.4,,6,0,0,407,0
37,1,5,42,боднуть,suffix-nu,,,P,0.7,7,бодать,I,0.4,,6,0,0,269,0
41,1,5,86,боднуть,suffix-nu,,,P,0.7,7,бодать,I,0.4,,6,0,0,28,0
12,3,5,94,бряцать,unrel,,,I,0.9,7,бодать,I,0.4,,6,0,0,223,0
18,3,5,103,бряцать,unrel,,,I,0.9,7,бодать,I,0.4,,6,0,0,82,0
22,3,5,75,бряцать,unrel,,,I,0.9,7,бодать,I,0.4,,6,0,0,195,0
25,3,5,59,бряцать,unrel,,,I,0.9,7,бодать,I,0.4,,6,0,0,587,0
34,3,5,73,бряцать,unrel,,,I,0.9,7,бодать,I,0.4,,6,0,0,636,0
3,1,46,62,булькать,balance,,,I,3.8,8,холодать,I,0.6,,8,0,0,132,0
14,2,46,84,булькать,balance,,,I,3.8,8,холодать,I,0.6,,8,0,0,9,0
26,1,46,83,булькать,balance,,,I,3.8,8,холодать,I,0.6,,8,0,0,0,0
31,3,46,10,булькать,balance,,,I,3.8,8,холодать,I,0.6,,8,0,0,443,0
41,1,46,55,булькать,balance,,,I,3.8,8,холодать,I,0.6,,8,0,0,208,0
3,1,12,94,венчать,unrel,,,I,4.6,7,мотать,I,8.1,,6,0,0,32,0
11,1,12,40,венчать,unrel,,,I,4.6,7,мотать,I,8.1,,6,0,0,92,0
16,1,12,18,венчать,unrel,,,I,4.6,7,мотать,I,8.1,,6,0,0,118,0
26,1,12,22,венчать,unrel,,,I,4.6,7,мотать,I,8.1,,6,0,0,98,0
37,1,12,24,венчать,unrel,,,I,4.6,7,мотать,I,8.1,,6,0,0,573,0
1,1,80,26,ветшать,filler,,,I,0.9,7,ризнуть,P,,,7,0,0,55,0
6,3,80,69,ветшать,filler,,,I,0.9,7,ризнуть,P,,,7,0,0,428,0
11,1,80,68,ветшать,filler,,,I,0.9,7,ризнуть,P,,,7,0,0,37,0
19,2,80,15,ветшать,filler,,,I,0.9,7,ризнуть,P,,,7,0,0,876,0
25,3,80,40,ветшать,filler,,,I,0.9,7,ризнуть,P,,,7,0,0,470,0
34,3,80,6,ветшать,filler,,,I,0.9,7,ризнуть,P,,,7,0,0,2052,0
36,2,80,5,ветшать,filler,,,I,0.9,7,ризнуть,P,,,7,0,0,494,0
36,2,20,80,водружать,unrel,,,I,0.4,9,ковырять,I,3.9,,8,0,0,0,0
3,1,74,44,выкурить,vy-filler,,,P,4,8,гурить,I,,,6,0,0,16,0
6,3,74,73,выкурить,vy-filler,,,P,4,8,гурить,I,,,6,0,0,266,0
25,3,74,89,выкурить,vy-filler,,,P,4,8,гурить,I,,,6,0,0,134,0
34,3,74,33,выкурить,vy-filler,,,P,4,8,гурить,I,,,6,0,0,444,0
3,1,81,64,вязать,filler,,,I,8.5,6,рязать,I,,,6,0,0,85,0
6,3,81,37,вязать,filler,,,I,8.5,6,рязать,I,,,6,0,0,143,0
10,3,81,62,вязать,filler,,,I,8.5,6,рязать,I,,,6,0,0,774,0
11,1,81,39,вязать,filler,,,I,8.5,6,рязать,I,,,6,0,0,318,0
13,1,81,30,вязать,filler,,,I,8.5,6,рязать,I,,,6,0,0,159,0
18,3,81,49,вязать,filler,,,I,8.5,6,рязать,I,,,6,0,0,56,0
37,1,81,10,вязать,filler,,,I,8.5,6,рязать,I,,,6,0,0,107,0
3,1,102,19,галдеть,filler,,,I,2.4,7,делщать,I,,,7,0,218,0,0
9,1,102,14,галдеть,filler,,,I,2.4,7,делщать,I,,,7,0,0,7,0
19,2,102,43,галдеть,filler,,,I,2.4,7,делщать,I,,,7,0,0,0,0
25,3,102,63,галдеть,filler,,,I,2.4,7,делщать,I,,,7,0,0,86,0
36,2,102,13,галдеть,filler,,,I,2.4,7,делщать,I,,,7,0,0,116,0
37,1,102,2,галдеть,filler,,,I,2.4,7,делщать,I,,,7,0,0,271,0
10,3,3,43,глодать,unrel,,,I,2.20,7,щипать,I,4.0,,6,0,0,473,0
18,3,3,89,глодать,unrel,,,I,2.20,7,щипать,I,4.0,,6,0,0,250,0
20,3,3,18,глодать,unrel,,,I,2.20,7,щипать,I,4.0,,6,0,0,33,0
25,3,3,97,глодать,unrel,,,I,2.20,7,щипать,I,4.0,,6,0,0,206,0
18,3,25,8,громыхнуть,suffix-nu,,,P,1.2,10,громыхать,I,3.3,,9,0,0,117,0
25,3,25,67,громыхнуть,suffix-nu,,,P,1.2,10,громыхать,I,3.3,,9,0,0,21,0
1,1,54,69,грохнуть,filler-nu,,,P,6.6,8,прохать,I,,,7,0,0,148,0
6,3,54,13,грохнуть,filler-nu,,,P,6.6,8,прохать,I,,,7,0,0,387,0
8,3,54,11,грохнуть,filler-nu,,,P,6.6,8,прохать,I,,,7,0,0,782,0
11,1,54,27,грохнуть,filler-nu,,,P,6.6,8,прохать,I,,,7,0,0,0,0
18,3,54,18,грохнуть,filler-nu,,,P,6.6,8,прохать,I,,,7,0,0,63,0
25,3,54,19,грохнуть,filler-nu,,,P,6.6,8,прохать,I,,,7,0,0,486,0
26,1,54,27,грохнуть,filler-nu,,,P,6.6,8,прохать,I,,,7,0,0,113,0
32,1,54,50,грохнуть,filler-nu,,,P,6.6,8,прохать,I,,,7,0,0,182,0
39,1,54,81,грохнуть,filler-nu,,,P,6.6,8,прохать,I,,,7,0,0,1206,0
3,1,76,16,забрызгать,za-filler,,,P,2.4,10,брытгать,I,,,8,0,144,0,0
12,3,76,10,забрызгать,za-filler,,,P,2.4,10,брытгать,I,,,8,0,0,0,0
25,3,76,41,забрызгать,za-filler,,,P,2.4,10,брытгать,I,,,8,0,0,452,0
4,3,66,24,загрустить,za-filler,,,P,2.1,10,крустить,I,,,8,0,0,457,0
11,1,66,5,загрустить,za-filler,,,P,2.1,10,крустить,I,,,8,0,0,131,0
16,1,66,51,загрустить,za-filler,,,P,2.1,10,крустить,I,,,8,0,0,55,0
19,2,66,3,загрустить,za-filler,,,P,2.1,10,крустить,I,,,8,0,0,0,0
20,3,66,75,загрустить,za-filler,,,P,2.1,10,крустить,I,,,8,0,0,0,0
34,3,66,103,загрустить,za-filler,,,P,2.1,10,крустить,I,,,8,0,0,621,0
2,3,68,60,загрызть,za-filler,,,P,1.4,8,глызть,I,,,6,0,0,922,0
6,3,68,56,загрызть,za-filler,,,P,1.4,8,глызть,I,,,6,0,0,158,0
19,2,68,99,загрызть,za-filler,,,P,1.4,8,глызть,I,,,6,0,0,0,0
24,2,68,10,загрызть,za-filler,,,P,1.4,8,глызть,I,,,6,0,0,148,0
25,3,68,57,загрызть,za-filler,,,P,1.4,8,глызть,I,,,6,0,0,253,0
36,2,68,100,загрызть,za-filler,,,P,1.4,8,глызть,I,,,6,0,0,445,0
3,1,69,2,закивать,za-filler,,,P,6.5,8,гивать,I,,,6,0,317,0,0
24,2,69,100,закивать,za-filler,,,P,6.5,8,гивать,I,,,6,0,0,50,0
25,3,69,83,закивать,za-filler,,,P,6.5,8,гивать,I,,,6,0,0,88,0
1,1,51,21,заражать,balance,,,I,3.1,8,запасать,I,1.1,,8,0,0,0,0
14,2,51,101,заражать,balance,,,I,3.1,8,запасать,I,1.1,,8,0,0,552,0
30,2,51,38,заражать,balance,,,I,3.1,8,запасать,I,1.1,,8,0,0,1350,0
37,1,51,50,заражать,balance,,,I,3.1,8,запасать,I,1.1,,8,0,0,112,0
3,1,71,61,зашикать,za-filler,,,P,0.7,8,шакать,I,,,6,0,0,255,0
10,3,71,86,зашикать,za-filler,,,P,0.7,8,шакать,I,,,6,0,0,201,0
19,2,71,96,зашикать,za-filler,,,P,0.7,8,шакать,I,,,6,0,0,1140,0
23,1,71,81,зашикать,za-filler,,,P,0.7,8,шакать,I,,,6,0,0,446,0
32,1,71,70,зашикать,za-filler,,,P,0.7,8,шакать,I,,,6,0,0,722,0
33,2,71,45,зашикать,za-filler,,,P,0.7,8,шакать,I,,,6,0,0,162,0
36,2,71,53,зашикать,za-filler,,,P,0.7,8,шакать,I,,,6,0,0,55,0
11,1,62,22,зевнуть,filler-nu,,,P,7.3,7,севать,I,,,6,0,0,344,0
22,3,62,88,зевнуть,filler-nu,,,P,7.3,7,севать,I,,,6,0,0,459,0
25,3,62,26,зевнуть,filler-nu,,,P,7.3,7,севать,I,,,6,0,0,336,0
33,2,19,59,избирать,unrel,,,I,5.5,8,нырять,I,8.7,,6,0,0,240,0
1,1,72,2,исчерпать,is-filler,,,P,11.3,9,челпать,I,,,7,0,0,19,0
3,1,72,32,исчерпать,is-filler,,,P,11.3,9,челпать,I,,,7,0,0,0,0
11,1,72,64,исчерпать,is-filler,,,P,11.3,9,челпать,I,,,7,0,0,270,0
17,2,72,9,исчерпать,is-filler,,,P,11.3,9,челпать,I,,,7,0,0,180,0
24,2,72,92,исчерпать,is-filler,,,P,11.3,9,челпать,I,,,7,0,0,152,0
25,3,72,58,исчерпать,is-filler,,,P,11.3,9,челпать,I,,,7,0,0,173,0
37,1,6,45,капнуть,suffix-nu,,,P,1.7,7,капать,I,8.7,,6,0,0,16,0
39,1,6,30,капнуть,suffix-nu,,,P,1.7,7,капать,I,8.7,,6,0,0,1613,0
9,1,82,100,кидать,filler,,,I,11.6,6,щагать,I,,,6,0,0,0,0
15,3,82,74,кидать,filler,,,I,11.6,6,щагать,I,,,6,0,0,203,0
17,2,82,58,кидать,filler,,,I,11.6,6,щагать,I,,,6,0,0,10,0
18,3,82,99,кидать,filler,,,I,11.6,6,щагать,I,,,6,0,0,203,0
19,2,82,69,кидать,filler,,,I,11.6,6,щагать,I,,,6,0,0,2977,0
21,2,82,83,кидать,filler,,,I,11.6,6,щагать,I,,,6,0,0,365,0
29,1,82,81,кидать,filler,,,I,11.6,6,щагать,I,,,6,0,0,508,0
35,1,82,8,кидать,filler,,,I,11.6,6,щагать,I,,,6,0,0,378,0
37,1,82,88,кидать,filler,,,I,11.6,6,щагать,I,,,6,0,0,0,0
3,1,41,58,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,57,0
16,1,41,75,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,172,0
18,3,41,21,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,59,0
24,2,41,54,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,0,0
25,3,41,80,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,476,0
26,1,41,89,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,463,0
27,2,41,8,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,292,0
29,1,41,32,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,223,0
37,1,41,43,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,367,0
41,1,41,60,ковылять,balance,,,I,2.8,8,колыхать,I,1.2,,8,0,0,153,0
25,3,20,78,ковырнуть,suffix-nu,,,P,0.6,9,ковырять,I,3.9,,8,0,0,59,0
34,3,20,3,ковырнуть,suffix-nu,,,P,0.6,9,ковырять,I,3.9,,8,0,0,793,0
9,1,99,18,козырять,filler,,,I,1.2,8,салокать,I,,,8,0,0,60,0
17,2,99,1,козырять,filler,,,I,1.2,8,салокать,I,,,8,0,0,73,0
19,2,99,31,козырять,filler,,,I,1.2,8,салокать,I,,,8,0,0,2926,0
3,1,43,24,колупать,balance,,,I,0.4,8,дорожать,I,1.8,,8,0,441,0,0
4,3,43,78,колупать,balance,,,I,0.4,8,дорожать,I,1.8,,8,0,0,848,0
14,2,43,12,колупать,balance,,,I,0.4,8,дорожать,I,1.8,,8,0,0,9,0
25,3,43,54,колупать,balance,,,I,0.4,8,дорожать,I,1.8,,8,0,0,97,0
35,1,43,36,колупать,balance,,,I,0.4,8,дорожать,I,1.8,,8,0,0,673,0
11,1,85,2,коротать,filler,,,I,2.7,8,вомочать,I,,,8,0,0,222,0
19,2,85,97,коротать,filler,,,I,2.7,8,вомочать,I,,,8,0,0,0,0
21,2,85,100,коротать,filler,,,I,2.7,8,вомочать,I,,,8,0,0,233,0
24,2,85,31,коротать,filler,,,I,2.7,8,вомочать,I,,,8,0,0,86,0
25,3,85,70,коротать,filler,,,I,2.7,8,вомочать,I,,,8,0,0,219,0
36,2,85,26,коротать,filler,,,I,2.7,8,вомочать,I,,,8,0,0,0,0
38,2,85,79,коротать,filler,,,I,2.7,8,вомочать,I,,,8,0,0,30,0
41,1,85,44,коротать,filler,,,I,2.7,8,вомочать,I,,,8,0,0,485,0
3,1,93,3,крепчать,filler,,,I,1.1,8,смастать,I,,,8,0,0,0,0
6,3,93,57,крепчать,filler,,,I,1.1,8,смастать,I,,,8,0,0,82,0
11,1,93,20,крепчать,filler,,,I,1.1,8,смастать,I,,,8,0,0,311,0
13,1,93,84,крепчать,filler,,,I,1.1,8,смастать,I,,,8,0,0,100,0
19,2,93,54,крепчать,filler,,,I,1.1,8,смастать,I,,,8,0,0,0,0
20,3,93,90,крепчать,filler,,,I,1.1,8,смастать,I,,,8,0,0,241,0
25,3,93,15,крепчать,filler,,,I,1.1,8,смастать,I,,,8,0,0,512,0
29,1,93,36,крепчать,filler,,,I,1.1,8,смастать,I,,,8,0,0,193,0
33,2,93,57,крепчать,filler,,,I,1.1,8,смастать,I,,,8,0,0,0,0
6,3,94,2,кромсать,filler,,,I,1.2,8,боринать,I,,,8,0,0,371,0
25,3,94,81,кромсать,filler,,,I,1.2,8,боринать,I,,,8,0,0,275,0
6,3,6,99,крякать,unrel,,,I,1.40,7,капать,I,8.7,,6,0,0,796,0
12,3,6,27,крякать,unrel,,,I,1.40,7,капать,I,8.7,,6,0,0,335,0
20,3,6,54,крякать,unrel,,,I,1.40,7,капать,I,8.7,,6,0,0,226,0
10,3,4,10,купать,unrel,,,I,2.30,6,охать,I,3.5,,5,0,0,200,0
18,3,4,29,купать,unrel,,,I,2.30,6,охать,I,3.5,,5,0,0,65,0
20,3,4,29,купать,unrel,,,I,2.30,6,охать,I,3.5,,5,0,0,32,0
31,3,4,17,купать,unrel,,,I,2.30,6,охать,I,3.5,,5,0,0,163,0
7,1,55,15,куснуть,filler-nu,,,P,0.9,7,курать,I,,,6,0,0,58,0
10,3,55,87,куснуть,filler-nu,,,P,0.9,7,курать,I,,,6,0,0,86,0
16,1,55,27,куснуть,filler-nu,,,P,0.9,7,курать,I,,,6,0,0,26,0
25,3,55,60,куснуть,filler-nu,,,P,0.9,7,курать,I,,,6,0,0,135,0
28,3,55,21,куснуть,filler-nu,,,P,0.9,7,курать,I,,,6,0,0,333,0
11,1,84,59,лазать,filler,,,I,2.2,6,савить,I,,,6,0,0,69,0
19,2,84,4,лазать,filler,,,I,2.2,6,савить,I,,,6,0,0,0,0
25,3,84,102,лазать,filler,,,I,2.2,6,савить,I,,,6,0,0,164,0
26,1,84,24,лазать,filler,,,I,2.2,6,савить,I,,,6,0,0,109,0
33,2,84,97,лазать,filler,,,I,2.2,6,савить,I,,,6,0,0,116,0
36,2,84,54,лазать,filler,,,I,2.2,6,савить,I,,,6,0,0,75,0
10,3,2,11,лицезреть,unrel,,,I,1.80,9,свистеть,I,8.8,,8,0,0,966,0
25,3,2,21,лицезреть,unrel,,,I,1.80,9,свистеть,I,8.8,,8,0,0,303,0
19,2,65,95,лопнуть,filler-nu,,,P,25.1,7,мопать,I,,,6,0,0,835,0
25,3,65,92,лопнуть,filler-nu,,,P,25.1,7,мопать,I,,,6,0,0,233,0
29,1,65,38,лопнуть,filler-nu,,,P,25.1,7,мопать,I,,,6,0,0,0,0
32,1,65,21,лопнуть,filler-nu,,,P,25.1,7,мопать,I,,,6,0,0,769,0
11,1,60,75,ляпнуть,filler-nu,,,P,3.9,7,лябать,I,,,6,0,0,127,0
25,3,60,87,ляпнуть,filler-nu,,,P,3.9,7,лябать,I,,,6,0,0,228,0
37,1,60,38,ляпнуть,filler-nu,,,P,3.9,7,лябать,I,,,6,0,0,94,0
24,2,10,72,мазнуть,suffix-nu,,,P,0.9,7,мазать,I,5.9,,6,0,0,260,0
33,2,10,93,мазнуть,suffix-nu,,,P,0.9,7,мазать,I,5.9,,6,0,0,40,0
38,2,10,99,мазнуть,suffix-nu,,,P,0.9,7,мазать,I,5.9,,6,0,0,0,0
40,2,10,99,мазнуть,suffix-nu,,,P,0.9,7,мазать,I,5.9,,6,0,0,280,0
3,1,86,70,макать,filler,,,I,1.70,6,толыть,I,,,6,0,0,48,0
4,3,86,76,макать,filler,,,I,1.70,6,толыть,I,,,6,0,0,528,0
11,1,86,6,макать,filler,,,I,1.70,6,толыть,I,,,6,0,0,52,0
19,2,86,51,макать,filler,,,I,1.70,6,толыть,I,,,6,0,0,0,0
25,3,86,9,макать,filler,,,I,1.70,6,толыть,I,,,6,0,0,587,0
25,3,49,27,мельчать,balance,,,I,0.9,8,сверкать,I,24.5,,8,0,0,183,0
29,1,49,90,мельчать,balance,,,I,0.9,8,сверкать,I,24.5,,8,0,0,1188,0
31,3,49,98,мельчать,balance,,,I,0.9,8,сверкать,I,24.5,,8,0,0,260,0
37,1,49,53,мельчать,balance,,,I,0.9,8,сверкать,I,24.5,,8,0,0,0,0
38,2,49,50,мельчать,balance,,,I,0.9,8,сверкать,I,24.5,,8,0,0,0,0
19,2,59,76,метнуть,filler-nu,,,P,3.4,7,нетать,I,,,6,0,0,0,0
33,2,59,1,метнуть,filler-nu,,,P,3.4,7,нетать,I,,,6,0,0,1046,0
25,3,8,23,мешкать,unrel,,,I,2.10,7,копать,I,13.2,,6,0,0,63,0
6,3,27,27,мигнуть,suffix-nu,,,P,2.0,7,мигать,I,7.3,,6,0,0,405,0
25,3,27,32,мигнуть,suffix-nu,,,P,2.0,7,мигать,I,7.3,,6,0,0,259,0
2,3,79,31,наделять,filler,,,I,3,8,пекотать,I,,,8,0,0,489,0
19,2,79,32,наделять,filler,,,I,3,8,пекотать,I,,,8,0,0,1430,0
25,3,79,104,наделять,filler,,,I,3,8,пекотать,I,,,8,0,0,199,0
26,1,79,32,наделять,filler,,,I,3,8,пекотать,I,,,8,0,0,21,0
14,2,24,31,надзирать,unrel,,,I,1.4,9,царапать,I,4.5,,8,0,0,119,0
3,1,75,47,натыкать,na-filler,,,P,0.5,8,тыгать,I,,,6,0,0,69,0
12,3,75,21,натыкать,na-filler,,,P,0.5,8,тыгать,I,,,6,0,0,1103,0
16,1,75,96,натыкать,na-filler,,,P,0.5,8,тыгать,I,,,6,0,0,116,0
29,1,75,2,натыкать,na-filler,,,P,0.5,8,тыгать,I,,,6,0,0,31,0
8,3,70,97,нашептать,na-filler,,,P,1,9,шаптать,I,,,7,0,0,531,0
9,1,70,51,нашептать,na-filler,,,P,1,9,шаптать,I,,,7,0,0,331,0
